,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
67499,84234,FINNIFTY27DEC2217000PE,FINNIFTY,27DEC2022,1700000.000000,40,OPTIDX,NFO,5.000000
67503,39863,FINNIFTY29NOV2220200CE,FINNIFTY,29NOV2022,2020000.000000,40,OPTIDX,NFO,5.000000
67507,60130,MIDCPNIFTY01NOV224950PE,MIDCPNIFTY,01NOV2022,495000.000000,75,OPTIDX,NFO,5.000000
67513,54377,NIFTY17NOV2216050CE,NIFTY,17NOV2022,1605000.000000,50,OPTIDX,NFO,5.000000
67525,55547,BANKNIFTY25JAN2343700CE,BANKNIFTY,25JAN2023,4370000.000000,25,OPTIDX,NFO,5.000000
67535,68506,MIDCPNIFTY22NOV226100PE,MIDCPNIFTY,22NOV2022,610000.000000,75,OPTIDX,NFO,5.000000
67548,51037,NIFTY22DEC2217450PE,NIFTY,22DEC2022,1745000.000000,50,OPTIDX,NFO,5.000000
67559,50371,BANKNIFTY01DEC2238700CE,BANKNIFTY,01DEC2022,3870000.000000,25,OPTIDX,NFO,5.000000
67600,42750,NIFTY08DEC2217050CE,NIFTY,08DEC2022,1705000.000000,50,OPTIDX,NFO,5.000000
67604,46838,BANKNIFTY17NOV2242600CE,BANKNIFTY,17NOV2022,4260000.000000,25,OPTIDX,NFO,5.000000
67607,49499,FINNIFTY20DEC2218500PE,FINNIFTY,20DEC2022,1850000.000000,40,OPTIDX,NFO,5.000000
67633,50069,MIDCPNIFTY20DEC226550CE,MIDCPNIFTY,20DEC2022,655000.000000,75,OPTIDX,NFO,5.000000
67636,56351,BANKNIFTY29JUN2340500PE,BANKNIFTY,29JUN2023,4050000.000000,25,OPTIDX,NFO,5.000000
67637,46735,BANKNIFTY17NOV2239000PE,BANKNIFTY,17NOV2022,3900000.000000,25,OPTIDX,NFO,5.000000
67646,50021,MIDCPNIFTY20DEC226050PE,MIDCPNIFTY,20DEC2022,605000.000000,75,OPTIDX,NFO,5.000000
67668,54034,FINNIFTY31JAN2317000PE,FINNIFTY,31JAN2023,1700000.000000,40,OPTIDX,NFO,5.000000
67689,51094,NIFTY22DEC2218050PE,NIFTY,22DEC2022,1805000.000000,50,OPTIDX,NFO,5.000000
67696,43383,NIFTY26DEC2414000CE,NIFTY,26DEC2024,1400000.000000,50,OPTIDX,NFO,5.000000
67701,49262,BANKNIFTY03NOV2237700CE,BANKNIFTY,03NOV2022,3770000.000000,25,OPTIDX,NFO,5.000000
67720,42816,NIFTY08DEC2217850CE,NIFTY,08DEC2022,1785000.000000,50,OPTIDX,NFO,5.000000
67736,49706,BANKNIFTY03NOV2245500CE,BANKNIFTY,03NOV2022,4550000.000000,25,OPTIDX,NFO,5.000000
67738,55519,BANKNIFTY25JAN2342700PE,BANKNIFTY,25JAN2023,4270000.000000,25,OPTIDX,NFO,5.000000
67739,60907,NIFTY24NOV2214500PE,NIFTY,24NOV2022,1450000.000000,50,OPTIDX,NFO,5.000000
67741,35031,BANKNIFTY29DEC2241800PE,BANKNIFTY,29DEC2022,4180000.000000,25,OPTIDX,NFO,5.000000
67742,50507,BANKNIFTY01DEC2241600CE,BANKNIFTY,01DEC2022,4160000.000000,25,OPTIDX,NFO,5.000000
67744,84494,MIDCPNIFTY27DEC225250PE,MIDCPNIFTY,27DEC2022,525000.000000,75,OPTIDX,NFO,5.000000
67747,48516,FINNIFTY07NOV2218550CE,FINNIFTY,07NOV2022,1855000.000000,40,OPTIDX,NFO,5.000000
67748,49311,FINNIFTY20DEC2216000PE,FINNIFTY,20DEC2022,1600000.000000,40,OPTIDX,NFO,5.000000
67753,45435,MIDCPNIFTY07NOV228050PE,MIDCPNIFTY,07NOV2022,805000.000000,75,OPTIDX,NFO,5.000000
67759,45225,MIDCPNIFTY13DEC228750CE,MIDCPNIFTY,13DEC2022,875000.000000,75,OPTIDX,NFO,5.000000
67764,47381,NIFTY15DEC2219650PE,NIFTY,15DEC2022,1965000.000000,50,OPTIDX,NFO,5.000000
67771,41073,BANKNIFTY01DEC2236200PE,BANKNIFTY,01DEC2022,3620000.000000,25,OPTIDX,NFO,5.000000
